name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number,Column 45,Column 46,Column 47
Saleen S7,takeshido_saleen_s7,Hypercar,Takeshido,ammofeed,6.41,600,100,600,,120,16,,258,20,60,86,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,40687,5,12,2400,0.25,6.41,7,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=7.31,tuner_builtin:turbo_stage4,tuner_builtin:transmission_stage3,tuner_builtin:aether_stage3,tuner_block_type:supercharger",,0.4,1,4,,,,
Ferrari Testarossa,takeshido_testarossa,Supercar,Takeshido,ammofeed,4.48,550,100,450,,90,16,,196,15,45,85,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,16457,5,12,2200,0.25,4.48,6,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=5.08,tuner_builtin:engine_tune_stage3,tuner_builtin:transmission_stage3,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
Dodge Viper,takeshido_viper,Supercar,Takeshido,ammofeed,4.67,550,100,450,,90,16,,202,18,54,80,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,18228,5,12,2200,0.25,4.67,6,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=5.52,tuner_builtin:engine_displacement,tuner_builtin:engine_racing_exhaust,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
VW ID.R,takeshido_vw_idr,Hypercar,Takeshido,ammofeed,7.37,650,100,750,,150,16,,171,28,84,96,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,58638,5,12,3200,0.25,7.37,9,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=6.49,tuner_builtin:aether_stage3,tuner_builtin:drivetrain_stage2,tuner_block_type:turbo,tuner_block_type:supercharger,tuner_block_type:engine_tune,tuner_block_type:engine_port,tuner_block_type:engine_balance,tuner_block_type:engine_displacement,tuner_block_type:engine_exhaust,tuner_block_type:transmission",,0.4,1,4,,,,
Lotus Exige,takeshido_exige,Supercar,Takeshido,ammofeed,3.88,480,100,320,,64,16,,177,17,51,99,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,11621,5,12,2000,0.25,3.88,4,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=5.86,tuner_builtin:supercharger_stage3,tuner_block_type:turbo",,0.4,1,4,,,,
BMW M3 GTR,takeshido_m3_gtr,Hypercar,Takeshido,ammofeed,6.45,640,100,600,,120,16,,199,19,57,99,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,41349,5,12,2800,0.25,6.45,8,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=6.59,tuner_builtin:aether_stage3,tuner_builtin:transmission_stage3,tuner_block_type:turbo,tuner_block_type:supercharger",,0.4,1,4,,,,
Red Bull RB19,takeshido_rb19,Prototype,Takeshido,ammofeed,8.19,700,100,750,,150,16,,235,27,81,100,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,77615,5,12,3200,0.25,8.19,9,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=8.07,tuner_builtin:turbo_stage4,tuner_builtin:aether_stage3,tuner_builtin:transmission_stage3,tuner_builtin:thrusters_stage3,tuner_builtin:gimbals_stage3,tuner_block_type:supercharger",,0.4,1,4,,,,
McLaren MP4/4,takeshido_mp4_4,Prototype,Takeshido,ammofeed,8.30,700,100,750,,150,16,,239,30,90,100,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,80436,5,12,3200,0.25,8.30,9,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=8.31,tuner_builtin:turbo_stage4,tuner_builtin:aether_stage3,tuner_builtin:transmission_stage3,tuner_builtin:thrusters_stage3,tuner_builtin:gimbals_stage3,tuner_block_type:supercharger",,0.4,1,4,,,,
Mercedes W11,takeshido_w11,Prototype,Takeshido,ammofeed,8.23,700,100,750,,150,16,,236,28,84,100,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,78633,5,12,3200,0.25,8.23,9,,"takeshido_bp,takeshidostrikecraft,AvgTrackScore=8.15,tuner_builtin:turbo_stage4,tuner_builtin:aether_stage3,tuner_builtin:transmission_stage3,tuner_builtin:thrusters_stage3,tuner_builtin:gimbals_stage3,tuner_block_type:supercharger",,0.4,1,4,,,,
#Special Cars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP Special,takeshido_jp_special,Hypercar,Takeshido,ammofeed,4.88,520,100,450,,90,16,,255,55,165,45,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,20330,5,12,2200,0.25,4.88,7,,"no_dealer,takeshidostrikecraft,AvgTrackScore=6.22",,0.4,1,4,,,,
Ares Special,takeshido_ares_special,Prototype,Takeshido,ammofeed,8.09,720,100,700,,140,16,,245,58,174,90,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,75109,5,12,3000,0.25,8.09,9,,"no_dealer,takeshidostrikecraft,AvgTrackScore=8.53",,0.4,1,4,,,,
DeLorean BTTF,takeshido_delorean_bttf,Roadcar,Takeshido,ammofeed,1.69,480,100,320,,64,16,,121,10,30,59,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,1947,5,12,2000,0.25,1.69,4,,"no_dealer,takeshidostrikecraft,AvgTrackScore=0.74",,0.4,1,4,,,,
Sweet JPs Trans Am 20000WR,takeshido_sweetjps_transam20000wr,Prototype,Takeshido,ammofeed,7.94,580,100,700,,140,16,,360,60,180,54,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,71452,5,12,3000,0.25,7.94,9,,"no_dealer,takeshidostrikecraft,AvgTrackScore=9.11",,0.4,1,4,,,,
Rayfield Caliburn,takeshido_rayfield_caliburn,Prototype,Takeshido,ammofeed,6.71,600,100,600,,120,16,,245,52,156,82,1000,80,FRONT,,260,0.66,0.92,,,1,2,1,5,0.8,27,10,45831,5,12,2400,0.25,6.71,7,,"no_dealer,takeshidostrikecraft,AvgTrackScore=8.01",,0.4,1,4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Takeshido Ships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wayfarer(tks),takeshido_wayfarer_tks,Combat Freighter,Midline,flarelauncher,5,2250,250,1600,1500,120,55,,120,105,105,45,90,300,FRONT,,180,0.4,0.8,,,25,50,150,40,1,40,10,14000,8,10,240,0.25,5,5,,takeshido_bp,,0.5,2,2,,,,
blindspot,takeshido_blindspot,Phase Frigate,Midline,entropyamplifier,10,1917,417,2233,3583,287,47,,140,120,120,55,110,200,PHASE,,90,,,0.05,0.05,6,12,20,40,1,40,10,36000,10,27,180,0.25,9,9,,takeshido_bp,,0.5,2,2,,,,
burnout,takeshido_burnout,Destroyer,Midline,ammofeed,10,4500,375,5850,6250,375,100,,90,70,70,30,45,375,FRONT,,300,0.4,1,,,50,85,90,55,2,28,9,42500,5,14,330,0.25,10,10,,takeshido_bp,,0.5,2,3,,,,
chicane,takeshido_chicane,Carrier,Midline,targetingfeed,14,8000,1000,4500,5000,250,112,3,62,40,40,15,18,1400,OMNI,,165,0.45,0.9,,,175,275,95,60,4,18,8,122500,4,12,390,0.25,20,20,CARRIER,takeshido_bp,,0.45,2,3,,,,
drover(tks),takeshido_drover_tks,Light Carrier,Midline,flarelauncher_active,11,4250,400,3000,2813,225,80,2,75,60,60,25,25,450,FRONT,,300,0.4,0.8,,,90,150,40,40,2,20,9,40000,5,15,360,0.25,12,12,"CARRIER, COMBAT",takeshido_bp,,0.5,2,3,,,,
heron(tks),takeshido_heron_tks,Fast Carrier,Midline,targetingfeed,14,6000,750,5000,6000,300,100,3,80,60,60,20,25,800,OMNI,,180,0.5,0.8,,,150,250,90,60,3,20,8,120000,3,12,360,0.25,20,20,CARRIER,takeshido_bp,,0.5,2,3,,,,
hound(tks),takeshido_hound_tks,Combat Freighter,Low Tech,flarelauncher,3,2000,400,750,1250,100,38,,180,175,175,90,120,200,NONE,,0,0,0,,,10,40,75,30,1,30,10,7500,5,10,240,0.25,3,3,,takeshido_bp,,0.4,2,2,,,,
megagarage,takeshido_megagarage,Carrier,Midline,recalldevice,28,14000,1275,12000,13750,550,285,5,30,15,15,6,5,3250,FRONT,,270,0.55,0.85,,,575,1250,275,250,12,20,7,387500,3,14,660,0.25,45,45,CARRIER,no_dealer,,0.5,2,4,,,,
odyssey(tks),takeshido_odyssey_tks,Battlecruiser,High Tech,microburn,25,10000,1000,15000,25000,1000,280,2,70,50,50,8,12,2500,OMNI,,180,0.25,1,,,400,800,400,450,8,56,8,330000,4,20,600,0.25,45,45,,takeshido_bp,,0.6,2,4,,,,
phaeton(tks),takeshido_phaeton_tks,Tanker,Low Tech,flarelauncher,6,2000,350,2000,2500,150,45,,50,30,30,25,15,400,OMNI,,90,0.5,1.2,,,10,20,20,800,2,400,8,22000,5,20,300,0.25,4,4,"CIVILIAN, TANKER",takeshido_bp,,0.75,3,4,,,,
tailgater,takeshido_tailgater,Frigate,Midline,maneuveringjets,6,2000,383,2567,2521,202,50,,110,137,137,48,97,217,OMNI,,200,0.4,0.8,,,18,35,43,23,1,23,10,14000,8,10,260,0.25,5,5,,takeshido_bp,,0.43,2,2,,,,
tarsus(tks),takeshido_tarsus_tks,Freighter,Low Tech,burndrive,6,4250,400,1800,2083,125,40,,45,35,35,25,15,400,OMNI,,120,0.66,1.2,,,30,80,350,80,3,27,8,18000,5,20,420,0.25,3,3,"CIVILIAN, FREIGHTER",takeshido_bp,,0.5,2,3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Misc Ships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAV,takeshido_LAV,Frigate,Midline,maneuveringjets,6,2000,383,2567,2521,202,50,,110,137,137,48,97,217,OMNI,,200,0.4,0.8,,,18,35,43,23,1,23,10,14000,8,10,260,0.25,5,5,,no_dealer,,0.43,2,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
